ticker,fiscal_year,roe,source
BTS,2013,0.014881,sec
BTS,2014,0.236915,sec
BTS,2015,0.055263,sec
BTS,2016,0.086025,sec
BTS,2017,0.045743,sec
BTS,2018,0.100557,sec
BTS,2019,0.072410,sec
BTS,2020,0.156753,sec
BTS,2021,0.079529,sec
BTS,2022,0.062599,sec
BTS,2023,0.031577,sec
BTS,2024,-0.102153,sec
BTS,2025,0.040462,sec
BTS,2026,-0.019767,sec
CBG,2013,0.216265,sec
CBG,2014,0.290225,sec
CBG,2015,0.203129,sec
CBG,2016,0.212757,sec
CBG,2017,0.114488,sec
CBG,2018,0.134398,sec
CBG,2019,0.313577,sec
CBG,2020,0.384321,sec
CBG,2021,0.281949,sec
CBG,2022,0.215509,sec
CBG,2023,0.171405,sec
CBG,2024,0.228922,sec
CBG,2025,0.167735,sec
CENTEL,2001,0.096005,sec
CENTEL,2002,0.082601,sec
CENTEL,2003,0.101835,sec
CENTEL,2004,0.174083,sec
CENTEL,2005,0.154535,sec
CENTEL,2006,0.106474,sec
CENTEL,2007,0.090456,sec
CENTEL,2008,0.072700,sec
CENTEL,2009,0.016389,sec
CENTEL,2010,-0.008690,sec
CENTEL,2011,0.097493,sec
CENTEL,2012,0.208365,sec
CENTEL,2013,0.136922,sec
CENTEL,2014,0.111440,sec
CENTEL,2015,0.193145,sec
CENTEL,2016,0.188455,sec
CENTEL,2017,0.181488,sec
CENTEL,2018,0.170940,sec
CENTEL,2019,0.126563,sec
CENTEL,2020,-0.227850,sec
CENTEL,2021,-0.122609,sec
CENTEL,2022,0.021332,sec
CENTEL,2023,0.064155,sec
CENTEL,2024,0.085579,sec
CENTEL,2025,0.091493,sec
CHG,2012,0.322787,sec
CHG,2013,0.220110,sec
CHG,2014,0.176734,sec
CHG,2015,0.186766,sec
CHG,2016,0.185152,sec
CHG,2017,0.175871,sec
CHG,2018,0.184729,sec
CHG,2019,0.194134,sec
CHG,2020,0.226899,sec
CHG,2021,0.725252,sec
CHG,2022,0.368199,sec
CHG,2023,0.139030,sec
CHG,2024,0.128304,sec
CHG,2025,0.124865,sec
COM7,2014,0.500752,sec
COM7,2015,0.234846,sec
COM7,2016,0.216656,sec
COM7,2017,0.284067,sec
COM7,2018,0.351626,sec
COM7,2019,0.395900,sec
COM7,2020,0.412583,sec
COM7,2021,0.575757,sec
COM7,2022,0.488404,sec
COM7,2023,0.375913,sec
COM7,2024,0.393768,sec
COM7,2025,0.414260,sec
CPALL,2004,0.143355,sec
CPALL,2005,0.147454,sec
CPALL,2006,0.143592,sec
CPALL,2007,0.213718,sec
CPALL,2008,0.254918,sec
CPALL,2009,0.281410,sec
CPALL,2010,0.365161,sec
CPALL,2011,0.408068,sec
CPALL,2012,0.457070,sec
CPALL,2013,0.377119,sec
CPALL,2014,0.341136,sec
CPALL,2015,0.401648,sec
CPALL,2016,0.403825,sec
CPALL,2017,0.305031,sec
CPALL,2018,0.261353,sec
CPALL,2019,0.250245,sec
CPALL,2020,0.169056,sec
CPALL,2021,0.129278,sec
CPALL,2022,0.129570,sec
CPALL,2023,0.174591,sec
CPALL,2024,0.213119,sec
CPALL,2025,0.212875,sec
CPAXT,2023,0.029445,sec
CPAXT,2024,0.035791,sec
CPAXT,2025,0.031338,sec
CPF,2004,0.039803,sec
CPF,2005,0.178931,sec
CPF,2006,0.058063,sec
CPF,2007,0.029349,sec
CPF,2008,0.068333,sec
CPF,2010,0.246817,sec
CPF,2011,0.260793,sec
CPF,2012,0.222792,sec
CPF,2013,0.065933,sec
CPF,2014,0.092921,sec
CPF,2015,0.094561,sec
CPF,2016,0.117593,sec
CPF,2017,0.101151,sec
CPF,2018,0.093129,sec
CPF,2019,0.110577,sec
CPF,2020,0.144484,sec
CPF,2021,0.064020,sec
CPF,2022,0.059024,sec
CPF,2023,-0.021020,sec
CPF,2024,0.067645,sec
CPF,2025,0.105254,sec
CPN,2001,0.156401,sec
CPN,2002,0.184618,sec
CPN,2003,0.171052,sec
CPN,2004,0.161418,sec
CPN,2005,0.320914,sec
CPN,2006,0.138339,sec
CPN,2007,0.136068,sec
CPN,2008,0.159793,sec
CPN,2009,0.298425,sec
CPN,2010,0.060754,sec
CPN,2011,0.107089,sec
CPN,2012,0.273146,sec
CPN,2013,0.204536,sec
CPN,2014,0.189301,sec
CPN,2015,0.181245,sec
CPN,2016,0.188700,sec
CPN,2017,0.238367,sec
CPN,2018,0.175895,sec
CPN,2019,0.170301,sec
CPN,2020,0.135640,sec
CPN,2021,0.100759,sec
CPN,2022,0.139217,sec
CPN,2023,0.173373,sec
CPN,2024,0.173489,sec
CPN,2025,0.179046,sec
CRC,2018,0.163027,sec
CRC,2019,0.254362,sec
CRC,2020,0.001183,sec
CRC,2021,0.001082,sec
CRC,2022,0.121085,sec
CRC,2023,0.124108,sec
CRC,2024,0.119620,sec
CRC,2025,0.110252,sec
DCC,2011,0.461281,sec
DCC,2012,0.469511,sec
DCC,2013,0.468335,sec
DCC,2014,0.441482,sec
DCC,2015,0.464264,sec
DCC,2016,0.438155,sec
DCC,2017,0.312059,sec
DCC,2018,0.241589,sec
DCC,2019,0.248139,sec
DCC,2020,0.378492,sec
DCC,2021,0.317976,sec
DCC,2022,0.275405,sec
DCC,2023,0.186292,sec
DCC,2024,0.160537,sec
DCC,2025,0.127435,sec
DELTA,2006,0.132524,sec
DELTA,2007,0.207180,sec
DELTA,2008,0.177100,sec
DELTA,2009,0.126942,sec
DELTA,2010,0.224793,sec
DELTA,2011,0.146628,sec
DELTA,2012,0.205280,sec
DELTA,2013,0.226492,sec
DELTA,2014,0.225291,sec
DELTA,2015,0.232618,sec
DELTA,2016,0.176666,sec
DELTA,2017,0.153255,sec
DELTA,2018,0.154741,sec
DELTA,2019,0.088427,sec
DELTA,2020,0.201117,sec
DELTA,2021,0.169561,sec
DELTA,2022,0.319398,sec
DELTA,2023,0.301469,sec
DELTA,2024,0.256828,sec
DELTA,2025,0.280914,sec
DOHOME,2018,0.091854,sec
DOHOME,2019,0.128948,sec
DOHOME,2020,0.107258,sec
DOHOME,2021,0.202350,sec
DOHOME,2022,0.068859,sec
DOHOME,2023,0.049228,sec
DOHOME,2024,0.053923,sec
DOHOME,2025,0.045827,sec
EA,2012,0.100824,sec
EA,2013,0.097795,sec
EA,2014,0.313953,sec
EA,2015,0.373365,sec
EA,2016,0.326975,sec
EA,2017,0.293075,sec
EA,2018,0.303309,sec
EA,2019,0.291856,sec
EA,2020,0.203399,sec
EA,2021,0.202282,sec
EA,2022,0.212916,sec
EA,2023,0.188672,sec
EA,2024,-0.126715,sec
EA,2025,-0.204613,sec
EGCO,2001,0.160460,sec
EGCO,2002,0.147242,sec
EGCO,2003,0.251039,sec
EGCO,2004,0.166767,sec
EGCO,2005,0.133590,sec
EGCO,2006,0.175718,sec
EGCO,2007,0.216009,sec
EGCO,2008,0.158256,sec
EGCO,2009,0.166601,sec
EGCO,2010,0.130442,sec
EGCO,2011,0.089860,sec
EGCO,2012,0.176177,sec
EGCO,2013,0.106230,sec
EGCO,2014,0.109488,sec
EGCO,2015,0.058551,sec
EGCO,2016,0.105280,sec
EGCO,2017,0.141050,sec
EGCO,2018,0.226477,sec
EGCO,2019,0.127575,sec
EGCO,2020,0.084486,sec
EGCO,2021,0.038054,sec
EGCO,2022,0.022939,sec
EGCO,2023,-0.074386,sec
EGCO,2024,0.051710,sec
EGCO,2025,0.046309,sec
ERW,2001,-0.081306,sec
ERW,2002,-0.083747,sec
ERW,2006,0.104873,sec
ERW,2007,0.123132,sec
ERW,2008,0.037177,sec
ERW,2009,-0.055856,sec
ERW,2010,-0.079330,sec
ERW,2011,0.146237,sec
ERW,2012,0.029826,sec
ERW,2013,0.219662,sec
ERW,2014,-0.023271,sec
ERW,2015,0.042751,sec
ERW,2016,0.076525,sec
ERW,2017,0.111290,sec
ERW,2018,0.110062,sec
ERW,2019,0.088941,sec
ERW,2020,-0.371509,sec
ERW,2021,-0.438761,sec
ERW,2022,-0.036388,sec
ERW,2023,0.126351,sec
ERW,2024,0.174520,sec
ERW,2025,0.102355,sec
GFPT,2001,0.309508,sec
GFPT,2002,0.206691,sec
GFPT,2003,0.082932,sec
GFPT,2004,0.082149,sec
GFPT,2005,-0.163129,sec
GFPT,2006,0.033946,sec
GFPT,2007,0.105753,sec
GFPT,2008,0.329543,sec
GFPT,2009,0.260174,sec
GFPT,2010,0.239166,sec
GFPT,2011,0.215242,sec
GFPT,2012,0.008473,sec
GFPT,2013,0.226573,sec
GFPT,2018,0.084548,sec
GFPT,2022,0.130806,sec
GFPT,2023,0.080533,sec
GFPT,2024,0.106736,sec
GFPT,2025,0.119161,sec
GLOBAL,2009,0.188499,sec
GLOBAL,2010,0.143466,sec
GLOBAL,2011,0.138878,sec
GLOBAL,2012,0.089058,sec
GLOBAL,2013,0.092166,sec
GLOBAL,2014,0.057556,sec
GLOBAL,2015,0.059035,sec
GLOBAL,2016,0.095917,sec
GLOBAL,2017,0.125202,sec
GLOBAL,2018,0.142961,sec
GLOBAL,2019,0.136897,sec
GLOBAL,2020,0.118928,sec
GLOBAL,2021,0.182999,sec
GLOBAL,2022,0.168658,sec
GLOBAL,2023,0.118660,sec
GLOBAL,2024,0.099244,sec
GLOBAL,2025,0.078240,sec
GPSC,2014,0.062747,sec
GPSC,2015,0.062196,sec
GPSC,2016,0.073812,sec
GPSC,2017,0.083876,sec
GPSC,2018,0.085542,sec
